isShortSale,source,yearBuilt,nextOpenHouseEndTime,sqft,lastSaleDate,id,state,county,longitude,zip,tax,mls_id,daysOnMarket,homeType,property_type,property_sub_type,beds,num_of_units,favorite,city,saleType,latitude,nextOpenHouseDate,recentReductionDate,title,rent_appreciation_rate,originalListPrice,parkingSpots,parkingType,address,nextOpenHouseStartTime,lotSize,url,baths,address_revealing,location,interested,listPrice,price_per_sqft,lastSalePrice,is_foreclosure,foreclosure_status,occupancy_status,owner_occupied,heating_system,cooling_system,walkscore,investment_likelihood_label,investment_likelihood_score,investment_likelihood_stars,hoa_dues,view_type,parcel_number,architecture_style,has_pool,is_water_front,needs_repair,tenant_occupied,is_market_place,schools
,HomeSmart Connect Real Estate,1954,,1200,,2484971,IL,Cook County,-87.83117676,60634,2712.41,11194570,5,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.94675064,,,"1.5 Story, Cape Cod - Chicago, IL",,,2,Garage,3705 North Pioneer Avenue,,3720,https://listings.listhub.net/pages/MREDIL/11194570/?channel=mashv,2,TRUE,Belmont Terrace,,349900,291.5833333,,0,,,FALSE,,Central A/C,,1,100,,,,1.22322E+13,Cape Cod,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Compass Real Estate,2006,,1450,,2473875,IL,Cook County,-87.68596649,60612,4213,11127718,41,Condo/Coop,Residential,Condominium,2,,,Chicago,MLS Listing,41.87363815,,,"Condo - Chicago, IL",,,1,,2353 West Harrison Street #3,,,https://listings.listhub.net/pages/MREDIL/11127718/?channel=mashv,2,TRUE,Tri-Taylor,,250000,172.4137931,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,231,,1.7183E+13,Other,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Compass Real Estate,1953,,1800,,2508604,IL,Cook County,-87.70841217,60645,4120.84,11180898,22,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.99969864,,,"2 Stories, Georgian - Chicago, IL",,,2,Garage,6520 North Troy Street,,3528,https://listings.listhub.net/pages/MREDIL/11180898/?channel=mashv,2,TRUE,West Rogers Park,,375900,208.8333333,,0,,,FALSE,,Central A/C,,1,100,,,,1.03631E+13,Georgian,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,HomeSmart Connect Real Estate,1957,2:00 PM,1434,,2535393,IL,Cook County,-87.75093842,60630,4592,11197378,4,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.96353149,29-08-21,,"English, 2 Stories - Chicago, IL",,,2,Garage,4533 North LAPORTE Avenue,12:00 PM,4090,https://listings.listhub.net/pages/MREDIL/11197378/?channel=mashv,2,TRUE,Mayfair,,360000,251.0460251,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,,,1.31622E+13,English,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Jameson Real Estate LLC,1922,,1500,,2457583,IL,Cook County,-87.76032257,60630,5423.58,11183583,17,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.97637939,,,"Colonial, 2 Stories - Chicago, IL",,,2,Garage,5212 North Liano Avenue,,3088,https://listings.listhub.net/pages/MREDIL/11183583/?channel=mashv,2,TRUE,Jefferson Park,,374000,249.3333333,,0,,,FALSE,,Central A/C,,1,100,,,,1.30913E+13,Colonial,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Compass,2010,,1748,,2511177,IL,Cook County,-87.72312927,60624,3062.39,11151510,20,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.87456894,,,"Tri-Level, 2 Stories - Chicago, IL",,,2,Garage,3900 West Congress Parkway,,3093,https://listings.listhub.net/pages/MREDIL/11151510/?channel=mashv,2,TRUE,Homan Square,,365000,208.8100686,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,,,1.61411E+13,Other,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Keller Williams Chicago ONEChicago,2001,2:30 PM,720,,1300791,IL,Cook County,-87.62979889,60654,4186.71,11177031,23,Condo/Coop,Residential,Condominium,1,,,Chicago,MLS Listing,41.89250183,15-08-21,,"Condo,High Rise (7+ Stories) - Chicago, IL",,,1,Garage,600 North Dearborn Street #1406,1:00 PM,,https://listings.listhub.net/pages/MREDIL/11177031/?channel=mashv,1,TRUE,Near North,,279900,388.75,,0,,,FALSE,Forced Air,Central A/C,,1,100,,576,,1.70923E+13,High Rise,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Jameson Sotheby's,1966,,851,,2506485,IL,Cook County,-87.61959839,60611,3877.97,11179948,21,Condo/Coop,Residential,Condominium,1,,,Chicago,MLS Listing,41.89883041,,,"Condo,High Rise (7+ Stories) - Chicago, IL",,,1,Garage,260 East Chestnut Street #1402,,,https://listings.listhub.net/pages/MREDIL/11179948/?channel=mashv,1,TRUE,Near North,,265000,311.3983549,,0,,,FALSE,,Central A/C,,1,100,,659,,1.70322E+13,High Rise,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,"Patron, Inc (dba RE/MAX Horizon)",1963,,850,,1102563,IL,Cook County,-87.61959839,60611,4566.97,11175295,25,Condo/Coop,Residential,Condominium,1,,,Chicago,MLS Listing,41.89870071,,,"Condo,High Rise (7+ Stories) - Chicago, IL",,,1,Garage,260 East Chestnut Street #602,,,https://listings.listhub.net/pages/MREDIL/11175295/?channel=mashv,1,TRUE,Near North,,238000,280,,0,,,FALSE,Forced Air (Electric),Central A/C,,1,100,,660,,1.70322E+13,High Rise,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,daprile properties,1989.0,,850,,2490704,IL,Cook County,-87.62718200683594,60611,5954.0,11168493,31,Condo/Coop,Residential,Condominium,1,,,Chicago,MLS Listing,41.89052963256836,,,"Condo,High Rise (7+ Stories) - Chicago, IL",,,1.0,Garage,440 North Wabash Avenue #4704,,,https://listings.listhub.net/pages/MREDIL/11168493/?channel=mashv,1,True,Near North,,249000,292.94117647058823,,0,,,False,Forced Air,Central A/C,,1,100.0,,531.0,,17101270191036,High Rise,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
